,symbol,year,EV,Market Cap,FCF,EBITDA,CapitalExpenditure,EnterprisesValueEBITDARatio,DilutedEPS,TotalRevenue,TotalAssets,TotalDebt,NetIncome,OperatingExpense,GrossProfit,deal
504,ARCO,2020,2456651833.0,1042546833.0,-70345000.0,28391000.0,-86311000.0,32.2273,-0.719718,1984219000.0,2293954000.0,1586015000.0,-149451000.0,182189000.0,115435000.0,0
505,ARCO,2021,2567711617.0,1227088617.0,143045000.0,247726000.0,-114999000.0,12.1464,0.22,2659941000.0,2361257000.0,1530197000.0,45486000.0,184540000.0,324059000.0,0
506,ARCO,2022,2973100396.0,1760570396.0,128322000.0,389923000.0,-217115000.0,7.7377,0.67,3618902000.0,2636630000.0,1561607000.0,140343000.0,228183000.0,492605000.0,0
507,ARCO,2023,4037118556.0,2673211556.0,21868000.0,459660000.0,-360097000.0,8.901,0.86,4331878000.0,3019238000.0,1690988000.0,181274000.0,283106000.0,597145000.0,0
508,ARDX,2020,473545838.0,605591838.0,-81759000.0,-86671000.0,-324000.0,-5.463717,-1.05,7571000.0,201562000.0,53318000.0,-94313000.0,98206000.0,7426000.0,0
509,ARDX,2021,67085788.0,143200788.0,-154418000.0,-150852000.0,-1867000.0,-0.444713,-1.52,10097000.0,149913000.0,45504000.0,-158165000.0,163443000.0,9097000.0,0
510,ARDX,2022,480846988.0,534259988.0,-70099000.0,-60982000.0,-55000.0,-7.885064,-0.42,52158000.0,190066000.0,36460000.0,-67207000.0,111800000.0,48041000.0,0
511,ARDX,2023,1308610795.0,1439253795.0,-90061000.0,-55354000.0,-344000.0,-23.640763,-0.3,124456000.0,297579000.0,55982000.0,-66067000.0,169937000.0,106661000.0,0
512,AREN,2020,41363262.0,24213389.0,-37257131.0,-47692487.0,-4962544.0,-0.867291,-50.180002,128032397.0,214204316.0,90318817.0,-89231963.0,95876952.0,24968952.0,0
513,AREN,2021,233105546.0,169089548.0,-19925000.0,-55991000.0,-5196000.0,-4.163268,-7.870003,189140000.0,173983000.0,83264000.0,-89940000.0,153886000.0,78610000.0,0
514,AREN,2022,270966874.0,193579874.0,-17013000.0,-29914000.0,-5709000.0,-9.058196,-4.02,220935000.0,203719000.0,116852000.0,-70858000.0,143638000.0,88012000.0,0
